code,sw1,sw2,sw3
000001,银行,银行,银行
000002,房地产,房地产开发,房地产开发
000003,综合,综合,综合
000004,医药生物,生物制品,生物制品
000005,公用事业,环保工程及服务,环保工程及服务
000006,房地产,房地产开发,房地产开发
000007,综合,综合,综合
000008,机械设备,运输设备,铁路设备
000009,综合,综合,综合
000010,建筑装饰,园林工程,园林工程
000011,房地产,房地产开发,房地产开发
000012,建筑材料,玻璃制造,玻璃制造
000013,化工,塑料,其他塑料制品
000014,房地产,房地产开发,房地产开发
000015,综合,综合,综合
000016,家用电器,视听器材,彩电
000017,汽车,其他交运设备,其他交运设备
000018,建筑装饰,装修装饰,装修装饰
000019,食品饮料,饮料制造,软饮料
000020,电子,电子制造,电子系统组装
000021,计算机,计算机设备,计算机设备
000022,交通运输,港口,港口
000023,建筑材料,其他建材,其他建材
000024,房地产,房地产开发,房地产开发
000025,汽车,汽车服务,汽车服务
000026,轻工制造,家用轻工,珠宝首饰
000027,公用事业,电力,火电
000028,医药生物,医药商业,医药商业
000029,房地产,房地产开发,房地产开发
000030,汽车,汽车零部件,汽车零部件
000031,房地产,房地产开发,房地产开发
000032,通信,通信设备,终端设备
000033,休闲服务,酒店,酒店
000034,计算机,计算机应用,IT服务
000035,公用事业,环保工程及服务,环保工程及服务
000036,房地产,房地产开发,房地产开发
000037,公用事业,电力,燃机发电
000038,传媒,营销传播,营销服务
000039,机械设备,金属制品,金属制品
000040,公用事业,环保工程及服务,环保工程及服务
000042,房地产,房地产开发,房地产开发
000043,房地产,房地产开发,房地产开发
000045,电子,光学光电子,显示器件
000046,房地产,房地产开发,房地产开发
000047,房地产,房地产开发,房地产开发
000048,农林牧渔,饲料,饲料
000049,电子,电子制造,电子系统组装
000050,电子,光学光电子,显示器件
000055,建筑装饰,专业工程,其他专业工程
000056,房地产,房地产开发,房地产开发
000058,商业贸易,商业物业经营,专业市场
000059,化工,石油化工,石油加工
000060,有色金属,工业金属,铅锌
000061,商业贸易,商业物业经营,专业市场
000062,电子,其他电子,其他电子
000063,通信,通信设备,通信传输设备
000065,建筑装饰,专业工程,国际工程承包
000066,计算机,计算机设备,计算机设备
000068,公用事业,环保工程及服务,环保工程及服务
000069,房地产,房地产开发,房地产开发
000070,通信,通信设备,通信传输设备
000078,医药生物,医药商业,医药商业
000088,交通运输,港口,港口
000089,交通运输,机场,机场
000090,房地产,房地产开发,房地产开发
000096,化工,石油化工,石油贸易
000099,交通运输,航空运输,航空运输
000100,家用电器,视听器材,彩电
000150,医药生物,医疗服务,医疗服务
000151,商业贸易,贸易,贸易
000153,医药生物,化学制药,化学制剂
000155,商业贸易,贸易,贸易
000156,传媒,文化传媒,有线电视网络
000157,机械设备,专用设备,工程机械
000158,计算机,计算机应用,IT服务
000159,化工,石油化工,石油贸易
000166,非银金融,证券,证券
000301,公用事业,电力,热电
000333,家用电器,白色家电,空调
000338,汽车,汽车零部件,汽车零部件
000400,电气设备,电气自动化设备,电网自动化
000401,建筑材料,水泥制造,水泥制造
000402,房地产,房地产开发,房地产开发
000403,医药生物,生物制品,生物制品
000404,家用电器,白色家电,家电零部件
000405,有色金属,有色金属冶炼与加工,有色金属冶炼
000406,采掘,石油开采,石油开采
000407,公用事业,燃气,燃气
000408,商业贸易,贸易,贸易
000409,综合,综合,综合
000410,机械设备,通用机械,机床工具
000411,医药生物,医药商业,医药商业
000412,综合,综合,综合
000413,电子,光学光电子,显示器件
000415,非银金融,多元金融,多元金融
000416,非银金融,多元金融,多元金融
000417,商业贸易,一般零售,百货
000418,家用电器,白色家电,洗衣机
000419,商业贸易,一般零售,多业态零售
000420,化工,化学纤维,粘胶
000421,公用事业,燃气,燃气
000422,化工,化学原料,氯碱
000423,医药生物,中药,中药
000425,机械设备,专用设备,工程机械
000426,有色金属,工业金属,铅锌
000428,休闲服务,酒店,酒店
000429,交通运输,高速公路,高速公路
000430,休闲服务,景点,自然景点
000488,轻工制造,造纸,造纸
000498,建筑装饰,基础建设,路桥施工
000501,商业贸易,一般零售,百货
000502,房地产,房地产开发,房地产开发
000503,医药生物,医疗服务,医疗服务
000504,传媒,文化传媒,平面媒体
000505,房地产,房地产开发,房地产开发
000506,房地产,房地产开发,房地产开发
000507,交通运输,港口,港口
000508,农林牧渔,农业综合,农业综合
000509,建筑材料,其他建材,其他建材
000510,化工,化学原料,氯碱
000511,有色金属,金属非金属新材料,非金属新材料
000513,医药生物,化学制药,化学制剂
000514,房地产,房地产开发,房地产开发
000515,化工,化学原料,无机盐
000516,商业贸易,一般零售,百货
000517,房地产,房地产开发,房地产开发
000518,医药生物,生物制品,生物制品
000519,国防军工,地面兵装,地面兵装
000520,交通运输,航运,航运
000521,家用电器,白色家电,冰箱
000522,医药生物,化学制药,化学制剂
000523,化工,化学制品,日用化学产品
000524,休闲服务,酒店,酒店
000525,化工,化学制品,农药
000526,传媒,互联网传媒,移动互联网服务
000527,家用电器,白色家电,空调
000528,机械设备,专用设备,工程机械
000529,综合,综合,综合
000530,机械设备,通用机械,制冷空调设备
000531,公用事业,电力,火电
000532,电子,元件,被动元件
000533,家用电器,白色家电,小家电
000534,房地产,房地产开发,房地产开发
000535,机械设备,金属制品,金属制品
000536,电子,光学光电子,显示器件
000537,房地产,房地产开发,房地产开发
000538,医药生物,中药,中药
000539,公用事业,电力,火电
000540,房地产,房地产开发,房地产开发
000541,电子,光学光电子,LED
000542,通信,通信设备,终端设备
000543,公用事业,电力,火电
000544,公用事业,水务,水务
000545,化工,化学原料,其他化学原料
000546,建筑材料,水泥制造,水泥制造
000547,国防军工,地面兵装,地面兵装
000548,交通运输,高速公路,高速公路
000549,汽车,汽车整车,商用载货车
000550,汽车,汽车整车,商用载货车
000551,机械设备,专用设备,环保设备
000552,采掘,煤炭开采,煤炭开采
000553,化工,化学制品,农药
000554,化工,石油化工,石油贸易
000555,计算机,计算机应用,IT服务
000556,综合,综合,综合
000557,食品饮料,饮料制造,葡萄酒
000558,房地产,房地产开发,房地产开发
000559,汽车,汽车零部件,汽车零部件
000560,商业贸易,一般零售,百货
000561,通信,通信设备,终端设备
000562,非银金融,证券,证券
000563,非银金融,多元金融,多元金融
000564,商业贸易,一般零售,百货
000565,化工,化学制品,涂料油漆油墨制造
000566,医药生物,化学制药,化学制剂
000567,房地产,房地产开发,房地产开发
000568,食品饮料,饮料制造,白酒
000569,钢铁,钢铁,特钢
000570,机械设备,通用机械,内燃机
000571,采掘,煤炭开采,煤炭开采
000572,汽车,汽车整车,乘用车
000573,房地产,房地产开发,房地产开发
000576,轻工制造,造纸,造纸
000578,化工,化学制品,钾肥
000581,汽车,汽车零部件,汽车零部件
000582,交通运输,港口,港口
000584,化工,化学纤维,氨纶
000585,电气设备,高低压设备,高压设备
000586,通信,通信设备,通信传输设备
000587,轻工制造,家用轻工,珠宝首饰
000588,农林牧渔,渔业,水产养殖
000589,化工,橡胶,轮胎
000590,医药生物,中药,中药
000591,电气设备,电源设备,光伏设备
000592,农林牧渔,林业,林业
000593,公用事业,燃气,燃气
000594,交通运输,铁路运输,铁路运输
000595,机械设备,通用机械,机械基础件
000596,食品饮料,饮料制造,白酒
000597,医药生物,化学制药,化学原料药
000598,公用事业,水务,水务
000599,化工,橡胶,轮胎
000600,公用事业,电力,火电
000601,公用事业,电力,水电
000602,公用事业,电力,火电
000603,有色金属,工业金属,铅锌
000605,公用事业,水务,水务
000606,计算机,计算机应用,IT服务
000607,传媒,营销传播,营销服务
000608,房地产,房地产开发,房地产开发
000609,房地产,房地产开发,房地产开发
000610,休闲服务,酒店,酒店
000611,纺织服装,纺织制造,其他纺织
000612,有色金属,工业金属,铝
000613,休闲服务,酒店,酒店
000615,房地产,房地产开发,房地产开发
000616,房地产,房地产开发,房地产开发
000617,机械设备,通用机械,内燃机
000618,化工,石油化工,石油加工
000619,建筑材料,其他建材,其他建材
000620,房地产,房地产开发,房地产开发
000621,传媒,互联网传媒,互联网信息服务
000622,汽车,汽车零部件,汽车零部件
000623,医药生物,中药,中药
000625,汽车,汽车整车,乘用车
000626,商业贸易,贸易,贸易
000627,非银金融,保险,保险
000628,综合,综合,综合
000629,采掘,其他采掘,其他采掘
000630,有色金属,工业金属,铜
000631,房地产,房地产开发,房地产开发
000632,综合,综合,综合
000633,有色金属,金属非金属新材料,金属新材料
000635,化工,化学原料,氯碱
000636,电子,元件,被动元件
000637,化工,石油化工,石油加工
000638,综合,综合,综合
000639,农林牧渔,农产品加工,粮油加工
000650,医药生物,中药,中药
000651,家用电器,白色家电,空调
000652,综合,综合,综合
000653,商业贸易,贸易,贸易
000655,采掘,其他采掘,其他采掘
000656,房地产,房地产开发,房地产开发
000657,有色金属,稀有金属,钨
000658,综合,综合,综合
000659,轻工制造,包装印刷,包装印刷
000661,医药生物,生物制品,生物制品
000662,计算机,计算机应用,IT服务
000663,轻工制造,家用轻工,家具
000665,传媒,文化传媒,有线电视网络
000666,非银金融,多元金融,多元金融
000667,房地产,房地产开发,房地产开发
000668,房地产,房地产开发,房地产开发
000669,公用事业,燃气,燃气
000670,电子,半导体,集成电路
000671,房地产,房地产开发,房地产开发
000672,建筑材料,水泥制造,水泥制造
000673,传媒,文化传媒,影视动漫
000675,化工,化学制品,磷肥
000676,传媒,互联网传媒,移动互联网服务
000677,化工,化学纤维,涤纶
000678,汽车,汽车零部件,汽车零部件
000679,商业贸易,一般零售,多业态零售
000680,机械设备,专用设备,工程机械
000681,传媒,文化传媒,影视动漫
000682,电气设备,电气自动化设备,电网自动化
000683,化工,化学原料,纯碱
000685,公用事业,水务,水务
000686,非银金融,证券,证券
000687,通信,通信设备,终端设备
000688,有色金属,工业金属,铅锌
000689,有色金属,有色金属冶炼与加工,有色金属冶炼
000690,公用事业,电力,新能源发电
000691,房地产,房地产开发,房地产开发
000692,公用事业,电力,热电
000693,有色金属,稀有金属,其他稀有小金属
000695,公用事业,电力,热电
000697,有色金属,稀有金属,其他稀有小金属
000698,化工,石油化工,石油加工
000699,轻工制造,造纸,造纸
000700,汽车,汽车零部件,汽车零部件
000701,电子,元件,被动元件
000702,农林牧渔,饲料,饲料
000703,化工,化学纤维,涤纶
000705,医药生物,医药商业,医药商业
000707,化工,化学原料,纯碱
000708,钢铁,钢铁,特钢
000709,钢铁,钢铁,普钢
000710,汽车,汽车零部件,汽车零部件
000711,综合,综合,综合
000712,非银金融,证券,证券
000713,农林牧渔,种植业,种子生产
000715,商业贸易,一般零售,百货
000716,食品饮料,食品加工,食品综合
000717,钢铁,钢铁,普钢
000718,房地产,房地产开发,房地产开发
000719,传媒,文化传媒,平面媒体
000720,公用事业,电力,火电
000721,休闲服务,餐饮,餐饮
000722,公用事业,电力,水电
000723,采掘,煤炭开采,焦炭加工
000725,电子,光学光电子,显示器件
000726,纺织服装,纺织制造,棉纺
000727,电子,光学光电子,显示器件
000728,非银金融,证券,证券
000729,食品饮料,饮料制造,啤酒
000730,公用事业,环保工程及服务,环保工程及服务
000731,化工,化学制品,氮肥
000732,房地产,房地产开发,房地产开发
000733,电子,元件,被动元件
000735,农林牧渔,畜禽养殖,畜禽养殖
000736,房地产,房地产开发,房地产开发
000737,化工,化学制品,日用化学产品
000738,国防军工,航空装备,航空装备
000739,医药生物,化学制药,化学原料药
000748,计算机,计算机设备,计算机设备
000750,非银金融,证券,证券
000751,有色金属,工业金属,铅锌
000752,食品饮料,饮料制造,啤酒
000753,汽车,汽车服务,汽车服务
000755,化工,化学制品,聚氨酯
000756,医药生物,化学制药,化学原料药
000757,汽车,汽车零部件,汽车零部件
000758,有色金属,工业金属,铅锌
000759,商业贸易,一般零售,超市
000760,汽车,汽车零部件,汽车零部件
000761,钢铁,钢铁,普钢
000762,采掘,其他采掘,其他采掘
000763,化工,石油化工,石油加工
000765,计算机,计算机设备,计算机设备
000766,医药生物,中药,中药
000767,公用事业,电力,火电
000768,国防军工,航空装备,航空装备
000769,农林牧渔,农业综合,农业综合
000776,非银金融,证券,证券
000777,机械设备,通用机械,机械基础件
000778,钢铁,钢铁,普钢
000779,纺织服装,纺织制造,毛纺
000780,采掘,煤炭开采,煤炭开采
000782,化工,化学纤维,其他纤维
000783,非银金融,证券,证券
000785,商业贸易,一般零售,多业态零售
000786,建筑材料,其他建材,其他建材
000788,医药生物,化学制药,化学原料药
000789,建筑材料,水泥制造,水泥制造
000790,医药生物,中药,中药
000791,公用事业,电力,水电
000792,化工,化学制品,钾肥
000793,传媒,文化传媒,平面媒体
000795,有色金属,金属非金属新材料,磁性材料
000796,休闲服务,旅游综合,旅游综合
000797,房地产,房地产开发,房地产开发
000798,农林牧渔,渔业,海洋捕捞
000799,食品饮料,饮料制造,白酒
000800,汽车,汽车整车,乘用车
000801,家用电器,视听器材,其它视听器材
000802,传媒,文化传媒,影视动漫
000803,房地产,房地产开发,房地产开发
000805,传媒,文化传媒,平面媒体
000806,电气设备,高低压设备,高压设备
000807,有色金属,工业金属,铝
000809,房地产,房地产开发,房地产开发
000810,家用电器,视听器材,其它视听器材
000811,机械设备,通用机械,制冷空调设备
000812,轻工制造,包装印刷,包装印刷
000813,有色金属,工业金属,铜
000815,轻工制造,造纸,造纸
000816,机械设备,通用机械,内燃机
000817,采掘,石油开采,石油开采
000818,化工,化学原料,氯碱
000819,化工,石油化工,石油加工
000820,公用事业,环保工程及服务,环保工程及服务
000821,机械设备,专用设备,印刷包装机械
000822,化工,化学原料,纯碱
000823,电子,元件,印制电路板
000825,钢铁,钢铁,特钢
000826,公用事业,环保工程及服务,环保工程及服务
000827,建筑材料,水泥制造,水泥制造
000828,交通运输,高速公路,高速公路
000829,商业贸易,专业零售,专业连锁
000830,化工,化学制品,氮肥
000831,有色金属,稀有金属,稀土
000832,化工,化学纤维,涤纶
000833,综合,综合,综合
000835,传媒,互联网传媒,移动互联网服务
000836,通信,通信设备,通信传输设备
000837,机械设备,通用机械,机床工具
000838,房地产,房地产开发,房地产开发
000839,综合,综合,综合
000848,食品饮料,饮料制造,软饮料
000850,纺织服装,纺织制造,棉纺
000851,通信,通信设备,终端设备
000852,机械设备,专用设备,冶金矿采化工设备
000856,机械设备,专用设备,其它专用机械
000858,食品饮料,饮料制造,白酒
000859,化工,塑料,其他塑料制品
000860,食品饮料,饮料制造,白酒
000861,商业贸易,商业物业经营,一般物业经营
000862,公用事业,电力,新能源发电
000863,休闲服务,景点,人工景点
000866,化工,石油化工,石油加工
000868,汽车,汽车整车,商用载客车
000869,食品饮料,饮料制造,葡萄酒
000875,公用事业,电力,火电
000876,农林牧渔,饲料,饲料
000877,建筑材料,水泥制造,水泥制造
000878,有色金属,工业金属,铜
000880,机械设备,通用机械,内燃机
000881,综合,综合,综合
000882,商业贸易,商业物业经营,一般物业经营
000883,公用事业,电力,水电
000885,建筑材料,水泥制造,水泥制造
000886,交通运输,高速公路,高速公路
000887,汽车,汽车零部件,汽车零部件
000888,休闲服务,景点,自然景点
000889,通信,通信运营,通信运营
000890,机械设备,金属制品,金属制品
000892,传媒,营销传播,营销服务
000893,农林牧渔,农产品加工,粮油加工
000895,食品饮料,食品加工,肉制品
000897,房地产,房地产开发,房地产开发
000898,钢铁,钢铁,普钢
000899,公用事业,电力,火电
000900,交通运输,高速公路,高速公路
000901,机械设备,仪器仪表,仪器仪表
000902,化工,化学制品,复合肥
000903,汽车,汽车零部件,汽车零部件
000905,交通运输,港口,港口
000906,商业贸易,贸易,贸易
000908,医药生物,化学制药,化学制剂
000909,房地产,房地产开发,房地产开发
000910,轻工制造,家用轻工,家具
000911,农林牧渔,农产品加工,其他农产品加工
000912,化工,化学制品,氮肥
000913,汽车,其他交运设备,其他交运设备
000915,医药生物,化学制药,化学制剂
000916,交通运输,高速公路,高速公路
000917,传媒,文化传媒,有线电视网络
000918,房地产,房地产开发,房地产开发
000919,医药生物,中药,中药
000920,公用事业,环保工程及服务,环保工程及服务
000921,家用电器,白色家电,冰箱
000922,电气设备,电机,电机
000923,机械设备,专用设备,工程机械
000925,机械设备,运输设备,铁路设备
000926,房地产,房地产开发,房地产开发
000927,汽车,汽车整车,乘用车
000928,建筑装饰,专业工程,国际工程承包
000929,食品饮料,饮料制造,啤酒
000930,农林牧渔,农产品加工,其他农产品加工
000931,综合,综合,综合
000932,钢铁,钢铁,普钢
000933,有色金属,工业金属,铝
000935,建筑材料,水泥制造,水泥制造
000936,化工,化学纤维,涤纶
000937,采掘,煤炭开采,煤炭开采
000938,计算机,计算机设备,计算机设备
000939,公用事业,电力,新能源发电
000948,计算机,计算机应用,软件开发
000949,化工,化学纤维,粘胶
000950,化工,化学制品,氮肥
000951,汽车,汽车整车,商用载货车
000952,医药生物,化学制药,化学原料药
000953,化工,化学制品,氮肥
000955,纺织服装,纺织制造,其他纺织
000956,采掘,石油开采,石油开采
000957,汽车,汽车整车,商用载客车
000958,公用事业,电力,火电
000959,钢铁,钢铁,普钢
000960,有色金属,稀有金属,其他稀有小金属
000961,房地产,房地产开发,房地产开发
000962,有色金属,金属非金属新材料,金属新材料
000963,医药生物,医药商业,医药商业
000965,房地产,房地产开发,房地产开发
000966,公用事业,电力,火电
000967,公用事业,环保工程及服务,环保工程及服务
000968,采掘,煤炭开采,煤炭开采
000969,有色金属,金属非金属新材料,金属新材料
000970,有色金属,金属非金属新材料,磁性材料
000971,通信,通信设备,通信配套服务
000972,农林牧渔,农产品加工,果蔬加工
000973,化工,塑料,其他塑料制品
000975,有色金属,工业金属,铅锌
000976,机械设备,运输设备,铁路设备
000977,计算机,计算机设备,计算机设备
000978,休闲服务,景点,自然景点
000979,房地产,房地产开发,房地产开发
000980,汽车,汽车零部件,汽车零部件
000981,房地产,房地产开发,房地产开发
000982,纺织服装,纺织制造,其他纺织
000983,采掘,煤炭开采,煤炭开采
000985,化工,化学制品,其他化学制品
000987,非银金融,证券,证券
000988,电子,其他电子,其他电子
000989,医药生物,中药,中药
000990,化工,化学制品,其他化学制品
000991,电子,光学光电子,显示器件
000993,综合,综合,综合
000995,食品饮料,饮料制造,白酒
000996,汽车,汽车服务,汽车服务
000997,计算机,计算机设备,计算机设备
000998,农林牧渔,种植业,种子生产
000999,医药生物,中药,中药
001696,汽车,汽车零部件,汽车零部件
001872,交通运输,港口,港口
001896,公用事业,电力,火电
001914,房地产,房地产开发,房地产开发
001965,交通运输,高速公路,高速公路
001979,房地产,房地产开发,房地产开发
002001,医药生物,化学制药,化学原料药
002002,化工,化学原料,氯碱
002003,纺织服装,纺织制造,辅料
002004,化工,化学制品,农药
002005,电子,光学光电子,LED
002006,机械设备,专用设备,其它专用机械
002007,医药生物,生物制品,生物制品
002008,电子,其他电子,其他电子
002009,机械设备,专用设备,其它专用机械
002010,化工,化学制品,纺织化学用品
002011,家用电器,白色家电,家电零部件
002012,轻工制造,造纸,造纸
002013,国防军工,航空装备,航空装备
002014,轻工制造,包装印刷,包装印刷
002015,化工,化学纤维,涤纶
002016,房地产,房地产开发,房地产开发
002017,通信,通信设备,终端设备
002018,综合,综合,综合
002019,医药生物,化学制药,化学原料药
002020,医药生物,化学制药,化学原料药
002021,机械设备,专用设备,纺织服装设备
002022,医药生物,医疗器械,医疗器械
002023,国防军工,航空装备,航空装备
002024,商业贸易,专业零售,专业连锁
002025,电子,电子制造,电子零部件制造
002026,机械设备,通用机械,机械基础件
002027,传媒,营销传播,营销服务
002028,电气设备,电气自动化设备,电网自动化
002029,纺织服装,服装家纺,男装
002030,医药生物,生物制品,生物制品
002031,机械设备,专用设备,其它专用机械
002032,家用电器,白色家电,小家电
002033,休闲服务,旅游综合,旅游综合
002034,纺织服装,纺织制造,印染
002035,家用电器,白色家电,小家电
002036,电子,光学光电子,显示器件
002037,化工,化学制品,民爆用品
002038,医药生物,生物制品,生物制品
002039,公用事业,电力,水电
002040,交通运输,港口,港口
002041,农林牧渔,种植业,种子生产
002042,纺织服装,纺织制造,棉纺
002043,建筑材料,其他建材,其他建材
002044,医药生物,医疗服务,医疗服务
002045,电子,电子制造,电子系统组装
002046,机械设备,通用机械,机械基础件
002047,建筑装饰,装修装饰,装修装饰
002048,汽车,汽车零部件,汽车零部件
002049,电子,半导体,集成电路
002050,家用电器,白色家电,家电零部件
002051,建筑装饰,专业工程,国际工程承包
002052,家用电器,视听器材,其它视听器材
002053,化工,化学原料,氯碱
002054,化工,化学制品,纺织化学用品
002055,电子,电子制造,电子零部件制造
002056,电子,其他电子,其他电子
002057,有色金属,金属非金属新材料,磁性材料
002058,电气设备,电气自动化设备,计量仪表
002059,休闲服务,旅游综合,旅游综合
002060,建筑装饰,基础建设,水利工程
002061,化工,化学制品,聚氨酯
002062,建筑装饰,基础建设,城轨建设
002063,计算机,计算机应用,软件开发
002064,化工,化学纤维,氨纶
002065,计算机,计算机应用,IT服务
002066,建筑材料,其他建材,耐火材料
002067,轻工制造,造纸,造纸
002068,化工,橡胶,炭黑
002069,农林牧渔,渔业,水产养殖
002070,有色金属,稀有金属,锂
002071,传媒,文化传媒,影视动漫
002072,计算机,计算机应用,IT服务
002073,机械设备,专用设备,其它专用机械
002074,电气设备,高低压设备,中压设备
002075,钢铁,钢铁,特钢
002076,电子,光学光电子,LED
002077,房地产,房地产开发,房地产开发
002078,轻工制造,造纸,造纸
002079,电子,半导体,分立器件
002080,化工,化学制品,玻纤
002081,建筑装饰,装修装饰,装修装饰
002082,建筑材料,其他建材,其他建材
002083,纺织服装,纺织制造,棉纺
002084,轻工制造,家用轻工,其他家用轻工
002085,汽车,汽车零部件,汽车零部件
002086,农林牧渔,渔业,水产养殖
002087,纺织服装,纺织制造,棉纺
002088,建筑材料,其他建材,耐火材料
002089,通信,通信设备,通信传输设备
002090,电气设备,电气自动化设备,电网自动化
002091,商业贸易,贸易,贸易
002092,化工,化学原料,氯碱
002093,通信,通信设备,通信配套服务
002094,商业贸易,专业零售,专业连锁
002095,传媒,互联网传媒,互联网信息服务
002096,化工,化学制品,民爆用品
002097,机械设备,专用设备,工程机械
002098,纺织服装,纺织制造,辅料
002099,医药生物,化学制药,化学原料药
002100,农林牧渔,饲料,饲料
002101,汽车,汽车零部件,汽车零部件
002102,医药生物,化学制药,化学原料药
002103,传媒,互联网传媒,移动互联网服务
002104,通信,通信设备,终端设备
002105,汽车,其他交运设备,其他交运设备
002106,电子,光学光电子,显示器件
