code,date,time,pre_close,open,high,low,close,volume,turover,dif_mi,accvolume,accturover,match_items
603160,20180105,930,1000300,990000,990000,988000,988500,45700,4518835,176,45700,4518835,176
603160,20180105,931,1000300,988000,989000,984000,985200,15700,1547997,68,61400,6066832,244
603160,20180105,932,1000300,984700,985900,984599,985300,26100,2571465,117,87500,8638297,361
603160,20180105,933,1000300,986400,989000,985900,986700,13100,1292680,60,100600,9930977,421
603160,20180105,934,1000300,986700,988900,986100,986100,19100,1885123,85,119700,11816100,506
603160,20180105,935,1000300,986300,986400,984599,984900,26300,2591878,111,146000,14407978,617
603160,20180105,936,1000300,986000,986000,984599,984599,16100,1585603,72,162100,15993581,689
603160,20180105,937,1000300,984500,986000,984500,985000,16300,1605742,58,178400,17599323,747
603160,20180105,938,1000300,985000,986400,984900,986100,18600,1833210,70,197000,19432533,817
603160,20180105,939,1000300,986000,986300,985200,985300,21900,2158878,78,218900,21591411,895
603160,20180105,940,1000300,985300,987500,985300,987500,7100,700653,32,226000,22292064,927
603160,20180105,941,1000300,987500,988400,987300,987500,7400,730833,27,233400,23022897,954
603160,20180105,942,1000300,987500,989700,987500,988400,14300,1413378,58,247700,24436275,1012
603160,20180105,943,1000300,988400,989500,988400,989400,14500,1433660,45,262200,25869935,1057
603160,20180105,944,1000300,989500,990000,989300,989800,8500,840957,39,270700,26710892,1096
603160,20180105,945,1000300,989500,990000,989500,990000,6800,673139,30,277500,27384031,1126
603160,20180105,946,1000300,990000,990000,987500,987800,11900,1176199,48,289400,28560230,1174
603160,20180105,947,1000300,987900,987900,987200,987300,20800,2053776,56,310200,30614006,1230
603160,20180105,948,1000300,987300,987400,987000,987000,11000,1086120,41,321200,31700126,1271
603160,20180105,949,1000300,987200,987300,987000,987300,7700,760141,37,328900,32460267,1308
603160,20180105,950,1000300,987300,987800,987300,987500,15900,1570248,31,344800,34030515,1339
603160,20180105,951,1000300,987500,987900,987200,987500,6800,671501,25,351600,34702016,1364
603160,20180105,952,1000300,987500,988000,987099,987200,3200,315968,23,354800,35017984,1387
603160,20180105,953,1000300,987500,987500,987099,987500,8000,789826,30,362800,35807810,1417
603160,20180105,954,1000300,987500,988000,987099,987200,3700,365316,20,366500,36173126,1437
603160,20180105,955,1000300,987200,987400,987099,987099,4000,394868,23,370500,36567994,1460
603160,20180105,956,1000300,987099,987099,985900,986000,10800,1065647,58,381300,37633641,1518
603160,20180105,957,1000300,986000,987000,985900,985900,12500,1233348,27,393800,38866989,1545
603160,20180105,958,1000300,985900,986800,984599,984800,30200,2976048,80,424000,41843037,1625
603160,20180105,959,1000300,984500,984800,984000,984000,12400,1220556,68,436400,43063593,1693
603160,20180105,1000,1000300,984000,984100,983300,984000,14500,1426376,54,450900,44489969,1747
603160,20180105,1001,1000300,983300,984000,983100,983300,23900,2350002,85,474800,46839971,1832
603160,20180105,1002,1000300,983199,983800,983000,983300,17358,1707075,58,492158,48547046,1890
603160,20180105,1003,1000300,983900,984100,983600,984100,10000,983910,40,502158,49530956,1930
603160,20180105,1004,1000300,984100,984300,983800,984300,4700,462500,29,506858,49993456,1959
603160,20180105,1005,1000300,984300,984500,984100,984500,10000,984270,30,516858,50977726,1989
603160,20180105,1006,1000300,984200,984200,983600,983700,14400,1416237,35,531258,52393963,2024
603160,20180105,1007,1000300,983300,983600,982600,982600,8242,810279,48,539500,53204242,2072
603160,20180105,1008,1000300,982099,982099,980000,980000,42600,4178643,169,582100,57382885,2241
603160,20180105,1009,1000300,980000,980300,979200,979300,29758,2915941,115,611858,60298826,2356
603160,20180105,1010,1000300,980000,980300,979300,980000,21300,2087238,75,633158,62386064,2431
603160,20180105,1011,1000300,979900,980000,978900,979000,28800,2820316,141,661958,65206380,2572
603160,20180105,1012,1000300,979000,980200,978900,980000,26500,2595134,79,688458,67801514,2651
603160,20180105,1013,1000300,980000,980000,979200,979900,14042,1375664,52,702500,69177178,2703
603160,20180105,1014,1000300,979900,980000,979300,979400,4500,440903,29,707000,69618081,2732
603160,20180105,1015,1000300,979400,980200,979400,980200,7258,711222,34,714258,70329303,2766
603160,20180105,1016,1000300,980000,980000,979300,979300,10942,1072046,41,725200,71401349,2807
603160,20180105,1017,1000300,979400,979700,979300,979700,20300,1988528,38,745500,73389877,2845
603160,20180105,1018,1000300,979700,979700,978900,979000,22700,2222498,84,768200,75612375,2929
603160,20180105,1019,1000300,979000,979000,978800,979000,13000,1272553,51,781200,76884928,2980
603160,20180105,1020,1000300,978800,978900,978600,978800,17700,1732528,64,798900,78617456,3044
603160,20180105,1021,1000300,978800,979400,978500,979400,9400,919974,43,808300,79537430,3087
603160,20180105,1022,1000300,979400,979400,978100,978300,31900,3121665,60,840200,82659095,3147
603160,20180105,1023,1000300,978300,978500,978000,978000,13000,1271500,53,853200,83930595,3200
603160,20180105,1024,1000300,978000,978300,977700,977700,7400,723731,39,860600,84654326,3239
603160,20180105,1025,1000300,977800,977800,977700,977700,10300,1007083,49,870900,85661409,3288
603160,20180105,1026,1000300,977300,977300,975300,975300,17000,1660323,68,887900,87321732,3356
603160,20180105,1027,1000300,975000,976800,975000,976800,27000,2633209,86,914900,89954941,3442
603160,20180105,1028,1000300,975500,976800,975500,975600,8200,800063,39,923100,90755004,3481
603160,20180105,1029,1000300,975800,975800,975100,975200,9606,936931,56,932706,91691935,3537
603160,20180105,1030,1000300,975400,975500,975100,975100,13994,1364862,57,946700,93056797,3594
603160,20180105,1031,1000300,975000,975100,973800,973800,17900,1744566,70,964600,94801363,3664
603160,20180105,1032,1000300,973600,973600,972099,972099,24700,2403584,66,989300,97204947,3730
603160,20180105,1033,1000300,972300,972300,971000,971000,29700,2887589,83,1019000,100092536,3813
603160,20180105,1034,1000300,971000,971000,970100,970100,54000,5240957,140,1073000,105333493,3953
603160,20180105,1035,1000300,970100,970600,969599,969599,46300,4491426,158,1119300,109824919,4111
603160,20180105,1036,1000300,969900,969900,969100,969500,22200,2152061,72,1141500,111976980,4183
603160,20180105,1037,1000300,969300,970000,969200,970000,18500,1794276,51,1160000,113771256,4234
603160,20180105,1038,1000300,970000,970900,969900,970900,12200,1183683,50,1172200,114954939,4284
603160,20180105,1039,1000300,971600,971900,970900,971900,13800,1340982,50,1186000,116295921,4334
603160,20180105,1040,1000300,972000,974800,971900,974800,3706,360251,21,1189706,116656172,4355
603160,20180105,1041,1000300,974800,974800,970400,972200,21200,2059564,68,1210906,118715736,4423
603160,20180105,1042,1000300,972200,974000,971100,973700,4100,398732,19,1215006,119114468,4442
603160,20180105,1043,1000300,973700,974200,973700,974200,7200,701201,18,1222206,119815669,4460
603160,20180105,1044,1000300,974200,974300,973900,974200,3400,331241,19,1225606,120146910,4479
603160,20180105,1045,1000300,974200,974200,973800,973800,6100,594097,15,1231706,120741007,4494
603160,20180105,1046,1000300,973800,973800,972000,972000,6100,593128,26,1237806,121334135,4520
603160,20180105,1047,1000300,972000,972000,970800,971000,10700,1039210,33,1248506,122373345,4553
603160,20180105,1048,1000300,971000,971000,970500,970800,4400,427174,30,1252906,122800519,4583
603160,20180105,1049,1000300,970800,971000,970600,970800,5600,543598,28,1258506,123344117,4611
603160,20180105,1050,1000300,970600,971500,970600,971500,1900,184538,10,1260406,123528655,4621
603160,20180105,1051,1000300,971500,971800,971200,971800,3700,359496,21,1264106,123888151,4642
603160,20180105,1052,1000300,971800,972400,971800,972400,3500,340217,17,1267606,124228368,4659
603160,20180105,1053,1000300,972400,972500,972099,972099,3700,359760,15,1271306,124588128,4674
603160,20180105,1054,1000300,972099,972500,972000,972500,2600,252760,15,1273906,124840888,4689
603160,20180105,1055,1000300,972099,972500,972099,972099,5100,495774,21,1279006,125336662,4710
603160,20180105,1056,1000300,972500,974599,971800,971800,13600,1322717,31,1292606,126659379,4741
603160,20180105,1057,1000300,974599,974900,974500,974900,4000,389869,18,1296606,127049248,4759
603160,20180105,1058,1000300,974900,975000,974000,975000,12500,1218473,20,1309106,128267721,4779
603160,20180105,1059,1000300,975000,975000,973000,973000,8200,798591,28,1317306,129066312,4807
603160,20180105,1100,1000300,973000,973000,971300,971300,14200,1379929,50,1331506,130446241,4857
603160,20180105,1101,1000300,970100,973000,970100,972500,8900,864210,33,1340406,131310451,4890
603160,20180105,1102,1000300,972500,972500,970000,970500,26700,2590423,74,1367106,133900874,4964
603160,20180105,1103,1000300,970500,974000,970500,974000,4100,398904,14,1371206,134299778,4978
603160,20180105,1104,1000300,974000,974700,974000,974700,1500,146194,10,1372706,134445972,4988
603160,20180105,1105,1000300,974700,974700,973600,973600,1800,175406,10,1374506,134621378,4998
603160,20180105,1106,1000300,974000,974000,973000,973000,2100,204416,11,1376606,134825794,5009
603160,20180105,1107,1000300,972600,973000,972300,972300,300,29179,3,1376906,134854973,5012
603160,20180105,1108,1000300,972300,973000,972300,972300,4500,437550,19,1381406,135292523,5031
603160,20180105,1109,1000300,972300,973800,972300,973800,1100,107032,8,1382506,135399555,5039
603160,20180105,1110,1000300,973800,973800,972600,973000,1900,184886,10,1384406,135584441,5049
603160,20180105,1111,1000300,973000,973000,972300,973000,2500,243136,11,1386906,135827577,5060
603160,20180105,1112,1000300,973000,973500,973000,973500,1200,116786,9,1388106,135944363,5069
603160,20180105,1113,1000300,973500,973700,972500,973700,1200,116809,7,1389306,136061172,5076
603160,20180105,1114,1000300,973700,973800,971100,973600,10600,1030815,25,1399906,137091987,5101
603160,20180105,1115,1000300,973600,973600,972000,972000,1400,136270,5,1401306,137228257,5106
603160,20180105,1116,1000300,972700,972700,971100,971600,3000,291548,11,1404306,137519805,5117
603160,20180105,1117,1000300,971600,972000,971200,971200,4400,427494,20,1408706,137947299,5137
603160,20180105,1118,1000300,971600,972700,971300,972700,1400,136090,10,1410106,138083389,5147
603160,20180105,1119,1000300,972700,972700,971300,971300,2700,262349,19,1412806,138345738,5166
603160,20180105,1120,1000300,972600,972600,971400,971500,2200,213846,8,1415006,138559584,5174
603160,20180105,1121,1000300,971500,971600,971300,971300,7000,680069,15,1422006,139239653,5189
603160,20180105,1122,1000300,971300,972000,971300,972000,800,77731,5,1422806,139317384,5194
603160,20180105,1123,1000300,971600,972400,971500,972300,5300,514945,16,1428106,139832329,5210
603160,20180105,1124,1000300,972300,972300,971300,972300,3400,330390,17,1431506,140162719,5227
603160,20180105,1125,1000300,972300,972300,972300,972300,1100,106954,7,1432606,140269673,5234
603160,20180105,1126,1000300,972200,972200,971700,971700,1400,136077,12,1434006,140405750,5246
603160,20180105,1127,1000300,971800,971800,971600,971700,3500,340084,13,1437506,140745834,5259
603160,20180105,1128,1000300,971700,972300,971700,972300,4900,476330,16,1442406,141222164,5275
603160,20180105,1129,1000300,972300,972400,971800,971800,9400,913897,13,1451806,142136061,5288
603160,20180105,1300,1000300,971800,972000,971800,972000,11800,1146869,45,1463606,143282930,5333
603160,20180105,1301,1000300,972000,972200,971800,972200,3400,330488,18,1467006,143613418,5351
603160,20180105,1302,1000300,972200,972200,972000,972000,1900,184694,13,1468906,143798112,5364
603160,20180105,1303,1000300,972000,972000,971900,972000,1700,165239,7,1470606,143963351,5371
603160,20180105,1304,1000300,972000,972000,971300,971300,21300,2069618,31,1491906,146032969,5402
603160,20180105,1305,1000300,971200,971300,970800,970800,9800,951629,48,1501706,146984598,5450
603160,20180105,1306,1000300,970800,970800,970000,970300,41800,4054949,104,1543506,151039547,5554
603160,20180105,1307,1000300,970100,970100,969599,970100,11100,1076574,46,1554606,152116121,5600
603160,20180105,1308,1000300,970100,972099,970100,970800,3100,300866,17,1557706,152416987,5617
603160,20180105,1309,1000300,970800,974000,970800,974000,9400,914199,23,1567106,153331186,5640
603160,20180105,1310,1000300,973000,973900,971600,971600,3800,369735,12,1570906,153700921,5652
603160,20180105,1311,1000300,971600,971600,971100,971300,6000,582731,18,1576906,154283652,5670
603160,20180105,1312,1000300,971600,972000,971300,972000,2800,272121,13,1579706,154555773,5683
603160,20180105,1313,1000300,972000,972000,971600,972000,7313,710764,17,1587019,155266537,5700
603160,20180105,1314,1000300,972000,972800,972000,972000,4300,418131,15,1591319,155684668,5715
603160,20180105,1315,1000300,972800,972800,972200,972800,4200,408498,13,1595519,156093166,5728
603160,20180105,1316,1000300,972800,972800,972000,972000,3587,348679,19,1599106,156441845,5747
603160,20180105,1317,1000300,972000,972000,971900,972000,2600,252714,15,1601706,156694559,5762
603160,20180105,1318,1000300,971800,972000,971800,971900,5013,487249,15,1606719,157181808,5777
603160,20180105,1319,1000300,971900,972099,971700,972099,3100,301309,23,1609819,157483117,5800
603160,20180105,1320,1000300,971800,971800,971500,971500,3800,369240,22,1613619,157852357,5822
603160,20180105,1321,1000300,971500,971800,971500,971500,4387,426211,21,1618006,158278568,5843
603160,20180105,1322,1000300,971500,971600,971500,971600,2013,195574,12,1620019,158474142,5855
603160,20180105,1323,1000300,971600,971600,971000,971600,8300,806222,38,1628319,159280364,5893
603160,20180105,1324,1000300,971600,971600,971100,971600,7000,680090,13,1635319,159960454,5906
603160,20180105,1325,1000300,971600,971900,971200,971200,2400,233146,11,1637719,160193600,5917
603160,20180105,1326,1000300,971200,971200,970000,970699,11687,1134526,44,1649406,161328126,5961
603160,20180105,1327,1000300,970100,970699,970000,970000,3400,329867,26,1652806,161657993,5987
603160,20180105,1328,1000300,970100,970600,969800,970000,25100,2434667,66,1677906,164092660,6053
603160,20180105,1329,1000300,970300,970300,969800,969900,8000,775953,28,1685906,164868613,6081
603160,20180105,1330,1000300,969900,970000,969900,970000,3900,378287,15,1689806,165246900,6096
603160,20180105,1331,1000300,969900,970200,969900,970100,4900,475297,20,1694706,165722197,6116
603160,20180105,1332,1000300,970000,970000,969599,969599,15100,1464461,62,1709806,167186658,6178
603160,20180105,1333,1000300,969599,970000,968800,969000,21194,2053979,91,1731000,169240637,6269
603160,20180105,1334,1000300,968700,968800,967800,967800,18100,1752290,87,1749100,170992927,6356
603160,20180105,1335,1000300,967700,967800,967000,967400,7200,696559,44,1756300,171689486,6400
603160,20180105,1336,1000300,967700,968000,967400,967900,11400,1103399,27,1767700,172792885,6427
603160,20180105,1337,1000300,967900,968000,967600,967900,6600,638782,35,1774300,173431667,6462
603160,20180105,1338,1000300,967900,968000,967800,967800,8400,813066,33,1782700,174244733,6495
603160,20180105,1339,1000300,967800,970000,967800,968500,35400,3427210,35,1818100,177671943,6530
603160,20180105,1340,1000300,968500,969900,968300,969800,5100,494480,23,1823200,178166423,6553
603160,20180105,1341,1000300,969900,970000,968700,969900,5700,552750,22,1828900,178719173,6575
603160,20180105,1342,1000300,969900,969900,968700,968800,3600,349007,18,1832500,179068180,6593
603160,20180105,1343,1000300,968800,970100,968800,970100,6400,620822,23,1838900,179689002,6616
603160,20180105,1344,1000300,970100,970300,969900,969900,22200,2153505,23,1861100,181842507,6639
603160,20180105,1345,1000300,969900,970000,969800,969900,2900,281279,11,1864000,182123786,6650
603160,20180105,1346,1000300,969900,969900,968800,969800,1900,184103,15,1865900,182307889,6665
603160,20180105,1347,1000300,968800,969900,968000,968000,12700,1229920,49,1878600,183537809,6714
603160,20180105,1348,1000300,968000,968400,967700,968199,2400,232298,16,1881000,183770107,6730
603160,20180105,1349,1000300,968000,968199,967700,967800,3900,377459,26,1884900,184147566,6756
603160,20180105,1350,1000300,968400,969900,968400,969900,2100,203407,9,1887000,184350973,6765
603160,20180105,1351,1000300,969900,969900,968199,968199,1000,96921,9,1888000,184447894,6774
603160,20180105,1352,1000300,969800,969800,968199,969800,8900,862819,12,1896900,185310713,6786
603160,20180105,1353,1000300,967800,969800,967800,968500,3300,319488,20,1900200,185630201,6806
603160,20180105,1354,1000300,968500,969700,968500,969000,1100,106606,7,1901300,185736807,6813
603160,20180105,1355,1000300,969500,969700,969000,969000,2900,281082,20,1904200,186017889,6833
603160,20180105,1356,1000300,969100,969500,969000,969000,2600,251979,13,1906800,186269868,6846
603160,20180105,1357,1000300,969100,969400,969000,969400,2100,203532,13,1908900,186473400,6859
603160,20180105,1358,1000300,969599,969599,969100,969100,2100,203584,14,1911000,186676984,6873
603160,20180105,1359,1000300,969100,969400,968600,969400,5400,523265,24,1916400,187200249,6897
603160,20180105,1400,1000300,969400,969400,969100,969100,1100,106607,6,1917500,187306856,6903
603160,20180105,1401,1000300,969100,969100,968500,968500,4100,397151,21,1921600,187704007,6924
603160,20180105,1402,1000300,968500,969100,968500,969100,2500,242162,13,1924100,187946169,6937
603160,20180105,1403,1000300,969100,969300,969000,969000,1600,155057,10,1925700,188101226,6947
603160,20180105,1404,1000300,969000,969500,969000,969400,5500,533097,21,1931200,188634323,6968
603160,20180105,1405,1000300,969500,969700,969500,969700,7000,678720,17,1938200,189313043,6985
603160,20180105,1406,1000300,969700,969700,969599,969599,6100,591479,17,1944300,189904522,7002
603160,20180105,1407,1000300,969700,969700,969599,969700,3100,300594,13,1947400,190205116,7015
603160,20180105,1408,1000300,969700,969800,969700,969800,1200,116372,7,1948600,190321488,7022
603160,20180105,1409,1000300,969800,970000,969800,970000,6506,631005,24,1955106,190952493,7046
603160,20180105,1410,1000300,970000,970100,969900,970100,4300,417093,16,1959406,191369586,7062
603160,20180105,1411,1000300,970100,970300,970100,970300,2300,223153,11,1961706,191592739,7073
603160,20180105,1412,1000300,970699,970900,970300,970400,3100,300909,20,1964806,191893648,7093
603160,20180105,1413,1000300,970699,971000,970600,971000,6200,601937,24,1971006,192495585,7117
603160,20180105,1414,1000300,970800,971000,970800,970800,6300,611671,20,1977306,193107256,7137
603160,20180105,1415,1000300,970800,971000,970699,971000,6413,622633,24,1983719,193729889,7161
603160,20180105,1416,1000300,971000,971100,971000,971100,2700,262187,10,1986419,193992076,7171
603160,20180105,1417,1000300,971100,971300,971000,971300,2800,271906,16,1989219,194263982,7187
603160,20180105,1418,1000300,971300,971900,971300,971800,700,68023,6,1989919,194332005,7193
603160,20180105,1419,1000300,971200,972000,971200,972000,3700,359545,14,1993619,194691550,7207
603160,20180105,1420,1000300,972000,972400,972000,972400,2100,204150,14,1995719,194895700,7221
603160,20180105,1421,1000300,972400,972400,971900,971900,11100,1079022,29,2006819,195974722,7250
603160,20180105,1422,1000300,971900,972900,971600,971600,4500,437431,20,2011319,196412153,7270
603160,20180105,1423,1000300,971600,971600,971300,971300,1800,174873,9,2013119,196587026,7279
603160,20180105,1424,1000300,971300,971300,971000,971000,3500,339882,24,2016619,196926908,7303
603160,20180105,1425,1000300,970900,971100,970900,971000,2200,213622,14,2018819,197140530,7317
603160,20180105,1426,1000300,971200,971600,971000,971600,7500,728597,16,2026319,197869127,7333
603160,20180105,1427,1000300,971600,971600,971500,971500,800,77721,3,2027119,197946848,7336
603160,20180105,1428,1000300,971500,971600,970900,970900,6000,582871,12,2033119,198529719,7348
603160,20180105,1429,1000300,970900,970900,970400,970400,1600,155301,13,2034719,198685020,7361
603160,20180105,1430,1000300,970400,970600,970200,970600,5100,494965,18,2039819,199179985,7379
603160,20180105,1431,1000300,970600,970600,970200,970200,5800,562833,19,2045619,199742818,7398
603160,20180105,1432,1000300,970200,970500,970200,970300,9300,902401,21,2054919,200645219,7419
603160,20180105,1433,1000300,970200,971000,970200,971000,2600,252377,14,2057519,200897596,7433
603160,20180105,1434,1000300,971000,971500,970400,971500,16500,1602221,26,2074019,202499817,7459
603160,20180105,1435,1000300,971500,971600,970600,971500,2400,233060,14,2076419,202732877,7473
603160,20180105,1436,1000300,971000,971000,971000,971000,4000,388370,10,2080419,203121247,7483
603160,20180105,1437,1000300,971000,971600,971000,971000,3300,320535,16,2083719,203441782,7499
603160,20180105,1438,1000300,971500,971500,970699,970699,5100,495241,23,2088819,203937023,7522
603160,20180105,1439,1000300,970600,970699,970400,970400,3500,339702,21,2092319,204276725,7543
603160,20180105,1440,1000300,970400,970500,970300,970500,3100,300821,20,2095419,204577546,7563
603160,20180105,1441,1000300,970500,970500,970100,970300,4300,417242,18,2099719,204994788,7581
603160,20180105,1442,1000300,970300,970699,970200,970300,3800,368743,14,2103519,205363531,7595
603160,20180105,1443,1000300,970300,970699,970200,970400,10000,970384,30,2113519,206333915,7625
603160,20180105,1444,1000300,970200,970200,970000,970000,8900,863338,37,2122419,207197253,7662
603160,20180105,1445,1000300,970000,970200,970000,970200,6300,611146,30,2128719,207808399,7692
603160,20180105,1446,1000300,970200,970699,970200,970200,3900,378398,8,2132619,208186797,7700
603160,20180105,1447,1000300,970200,970699,970200,970699,2200,213523,18,2134819,208400320,7718
603160,20180105,1448,1000300,970699,970699,970300,970500,5400,524062,30,2140219,208924382,7748
603160,20180105,1449,1000300,970500,970500,970200,970300,5800,562775,24,2146019,209487157,7772
603160,20180105,1450,1000300,970400,970600,970300,970400,4400,426996,28,2150419,209914153,7800
603160,20180105,1451,1000300,970600,970600,970300,970300,7900,766633,28,2158319,210680786,7828
603160,20180105,1452,1000300,970300,970400,970100,970200,8200,795595,39,2166519,211476381,7867
603160,20180105,1453,1000300,970200,970400,970100,970100,4100,397777,26,2170619,211874158,7893
603160,20180105,1454,1000300,970100,970400,970000,970200,14500,1406714,60,2185119,213280872,7953
603160,20180105,1455,1000300,970200,970300,970000,970100,9300,902151,42,2194419,214183023,7995
603160,20180105,1456,1000300,970000,970200,969900,969900,16300,1581179,48,2210719,215764202,8043
603160,20180105,1457,1000300,970000,970300,969900,969900,17100,1658756,55,2227819,217422958,8098
603160,20180105,1458,1000300,970100,970100,969800,970000,11600,1125065,56,2239419,218548023,8154
603160,20180105,1459,1000300,970100,970600,970100,970300,11300,1096397,42,2250719,219644420,8196
